原料名称,玉米,麦麸,豆粕,鱼粉,棉籽油,菜籽油,植物油,石粉,磷酸氢钙,蛋氨酸,赖氨酸,复合预混料,食盐
消化能（Mcal/kg）,3.85,3.23,4.05,4.25,3.4,3.44,7.7,0,0,0,0,0,0
粗蛋白（%）,9.4,17.3,49.9,68.5,44.9,37.8,0,0,0,0,0,0,0
精氨酸（%）,0.43,1.18,3.68,3.99,4.96,2.65,0,0,0,0,0,0,0
组氨酸（%）,0.29,0.49,1.38,1.94,1.27,1.06,0,0,0,0,0,0,0
亮氨酸（%）,1.05,1.07,3.9,4.95,2.64,2.56,0,0,0,0,0,0,0
异亮氨酸（%）,0.31,0.54,2.28,2.8,1.39,1.45,0,0,0,0,0,0,0
蛋氨酸（%）,0.2,0.27,0.72,1.92,0.71,0.71,0,0,0,99,0,0,0
赖氨酸（%）,0.27,0.7,3.13,5.24,1.85,2.12,0,0,0,0,78.8,0,0
苏氨酸（%）,0.33,0.56,1.99,2.88,1.45,1.67,0,0,0,0,0,0,0
色氨酸（%）,0.07,0.24,0.63,0.72,0.54,0.55,0,0,0,0,0,0,0
苯丙氨酸（%）,0.43,0.69,2.62,2.73,2.38,1.53,0,0,0,0,0,0,0
缬氨酸（%）,0.38,0.78,2.34,3.3,1.9,1.79,0,0,0,0,0,0,0
钙（%）,0.04,0.13,0.4,5.34,0.2,0.75,0,35,24,0,0,0,0
总磷（%）,0.3,0.18,0.71,3.05,1.15,1.1,0,0,10,0,0,0,0
用量上限（%）,90,20,60,5,9,7,3,2,10,3,3,0,0
用量下限（%）,20,0,10,0,0,0,0,0,0,0,0,0,0
等量使用（%）,0,0,0,0,0,0,0,0,0,0,0,1,0.3
价格（元/kg）,1.5,1.5,2.8,6,1.6,1.4,6,0.2,1.35,28,22,10,0.86
