rainfall_mm,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
1626,636,11,1006,404
1959,73,11,112,115
1360,352,5,702,231
1794,948,7,299,537
1630,884,5,2733,554
1595,928,7,1891,556
1544,361,10,547,257
621,167,12,1911,158
966,598,11,940,360
1738,500,12,689,327
830,667,11,1253,397
1982,864,5,2190,536
587,472,10,619,267
1896,234,5,1136,211
1623,926,5,824,531
1371,322,7,2770,276
630,624,4,1087,369
1832,928,8,902,550
1269,868,9,2682,537
843,822,12,2449,486
1937,949,11,626,546
1305,475,5,1765,314
885,97,4,1238,110
1715,892,5,559,519
1455,312,10,2979,262
776,689,7,2652,422
1684,444,8,1031,312
959,691,10,2086,425
1837,144,6,424,144
521,59,5,678,61
752,441,10,2908,312
1247,349,8,2998,289
1356,356,4,1637,254
974,655,4,2649,428
1582,356,12,2100,271
1010,658,8,2481,414
1999,254,4,2431,248
1199,118,10,574,117
1475,834,12,1177,500
689,808,4,1581,471
1457,542,7,1702,359
1186,99,6,1543,135
1457,305,8,731,216
1062,121,10,802,113
1767,822,11,2556,516
1331,598,5,1081,373
1654,186,10,1427,180
1146,352,4,2058,258
520,669,10,658,382
1340,110,11,321,109
666,767,5,1656,443
1797,638,12,2305,430
887,613,4,447,356
1100,410,9,1282,279
815,37,4,988,71
513,946,6,1021,519
741,971,9,1358,542
1276,546,6,2809,384
1869,67,11,504,115
1064,507,8,1380,332
1397,306,5,776,229
1863,143,7,688,142
591,340,12,1720,225
1890,258,7,2705,256
1455,559,11,2626,391
1978,911,8,2634,572
1951,950,4,1694,582
1008,84,10,665,87
1275,663,6,2671,442
534,843,11,803,461
705,177,6,2968,174
1604,780,4,957,468
1911,512,8,1384,354
1525,894,5,684,513
1521,364,7,2833,297
1913,234,4,331,197
1065,673,12,2417,420
1629,540,9,1345,351
2000,155,11,151,150
1202,969,7,2263,571
901,250,12,637,180
1229,893,5,640,515
661,902,12,1142,509
701,353,8,914,231
1495,758,9,1515,471
769,44,6,2938,110
1315,711,7,1752,439
1794,10,9,2765,123
955,162,10,518,135
1985,438,4,2456,340
1775,954,10,963,567
1516,517,4,285,324
795,135,8,360,101
1219,500,9,1651,338
837,491,5,1396,305
1378,354,12,2307,276
1576,921,9,861,528
1291,747,10,323,432
716,230,11,1379,169
1263,924,4,279,510
687,928,11,2167,531
879,732,7,1747,442
