time,score
5.72,53.97
6.12,60.02
7.17,71.67
7.11,71.17
6.03,58.17
6.03,59.99
6.03,60.54
10.0,100.0
6.14,62.84
7.27,70.46
6.91,66.01
6.3,65.58
6.52,63.68
5.16,51.77
9.63,100.0
6.37,63.23
7.18,74.52
6.36,60.07
5.43,50.25
5.09,50.37
9.29,95.88
6.27,62.83
5.37,50.97
6.7,66.94
6.01,55.96
6.73,67.14
8.53,84.28
5.81,55.98
6.84,70.27
9.24,90.47
7.06,71.66
7.53,75.12
5.89,57.77
6.55,63.1
8.26,83.88
5.26,51.46
7.88,78.28
7.33,70.23
5.02,52.94
5.92,58.74
5.4,55.13
5.14,57.55
5.23,52.01
6.32,61.33
8.17,78.51
9.27,91.15
6.18,59.6
5.56,58.99
6.7,65.27
5.71,60.19
6.8,65.92
5.61,55.77
6.63,64.51
6.26,59.83
6.02,63.09
8.32,80.74
9.87,100.0
7.13,75.26
7.33,73.18
5.92,55.1
5.07,56.97
5.15,57.84
8.05,74.71
6.71,60.59
5.5,50.6
7.65,81.47
5.28,55.92
6.37,58.83
5.8,64.84
5.87,72.39
7.72,76.15
7.21,73.29
7.1,64.95
6.74,66.54
4.74,62.11
4.67,55.93
5.1,53.19
5.85,58.02
8.61,83.11
5.6,51.0
5.71,60.74
5.85,62.97
5.14,51.97
4.63,57.17
6.11,64.36
7.66,65.47
10.54,99.55
8.26,84.52
6.75,60.35
6.13,61.49
5.51,60.62
7.64,71.94
6.91,66.32
4.66,56.0
5.11,49.31
6.06,58.59
7.65,81.64
5.82,57.29
4.79,51.64
5.05,55.96
6.64,65.66
5.3,54.89
5.07,57.73
7.07,71.84
6.6,60.84
5.74,51.02
4.65,50.82
5.02,55.57
5.89,63.01
5.56,56.88
8.58,84.3
4.82,53.47
5.65,55.13
5.78,57.72
4.67,63.38
7.04,71.63
6.25,64.75
8.6,81.52
8.0,78.59
6.58,62.06
8.65,77.23
5.74,58.65
4.97,54.35
6.41,67.17
6.88,71.08
6.18,62.68
6.27,60.56
4.41,57.28
6.01,59.61
9.38,99.58
9.83,100.44
5.31,50.42
5.17,59.09
9.52,89.6
5.5,51.13
5.86,56.88
7.08,70.56
7.1,79.4
7.31,76.18
4.68,57.05
9.1,96.49
5.59,52.52
5.05,52.94
6.29,66.86
5.22,64.46
6.93,69.7
6.31,63.16
9.15,88.88
6.78,72.27
7.38,63.96
