density,diameter
41,29.1
41,28.4
41,27.4
41,25.7
42,27.4
43,27.3
44,27.6
44,24.3
45,25.3
45,26.0
46,25.4
46,24.6
47,25.6
47,26.5
48,26.9
49,24.4
49,26.4
50,24.7
50,24.4
51,23.6
52,26.1
52,24.6
53,23.0
53,24.9
54,24.5
54,23.1
55,24.0
55,23.9
56,25.1
56,23.9
57,23.1
57,24.5
57,23.6
59,23.7
60,25.5
60,24.4
60,24.6
62,24.4
62,22.3
63,23.7
63,21.6
63,22.8
64,22.1
64,23.0
65,21.9
66,21.9
66,22.8
66,25.3
66,21.7
67,23.5
68,21.2
68,21.3
70,21.3
71,22.8
72,21.6
72,22.1
72,22.7
73,23.4
74,20.9
74,23.0
74,21.9
75,21.9
75,21.4
76,20.4
76,21.8
78,20.8
79,23.7
79,21.0
80,19.8
81,20.3
81,22.6
81,21.6
82,21.2
83,20.2
83,20.6
84,21.5
84,20.7
84,19.2
85,19.4
85,20.1
85,19.0
86,20.8
86,19.1
86,19.7
87,19.0
87,20.1
88,18.6
89,21.2
90,21.8
90,19.4
91,19.9
91,19.5
91,22.4
92,21.2
94,17.7
94,17.8
97,14.3
98,17.9
100,18.6
100,18.1
100,19.0
102,17.9
104,17.9
106,16.5
109,17.5
109,16.6
109,16.2
110,17.2
110,17.0
111,17.1
112,16.6
112,13.6
112,16.7
113,16.2
113,17.1
113,18.4
113,15.1
114,15.1
115,15.4
116,15.9
116,13.1
117,13.6
118,14.5
119,15.4
123,14.1
123,12.9
124,15.0
124,15.3
124,14.9
125,14.7
125,14.6
125,14.9
126,13.9
127,14.0
129,12.6
129,13.2
129,14.5
129,15.2
129,13.1
129,13.8
130,13.3
130,13.3
132,13.3
133,13.3
133,13.5
134,13.7
135,13.9
136,12.6
137,12.3
138,13.1
139,11.1
139,12.4
140,11.0
142,12.1
142,11.8
142,12.5
142,10.1
142,11.5
146,9.7
147,11.7
147,12.9
148,10.7
148,9.1
148,10.7
149,9.3
149,11.1
150,9.3
152,8.1
153,10.0
153,10.9
153,11.3
153,10.1
154,10.0
154,10.5
155,11.5
156,8.8
157,9.0
157,10.0
161,8.0
161,8.0
161,8.0
162,8.0
163,8.0
164,8.2
164,8.0
165,8.0
165,8.0
165,12.7
166,8.0
166,8.0
166,8.0
166,8.0
167,8.0
167,8.0
167,9.3
169,8.0
169,8.8
170,8.0
171,8.3
172,8.0
172,8.0
173,8.0
173,8.0
175,8.0
175,8.0
176,8.7
176,8.0
176,8.0
178,8.0
178,8.0
