id,tea_bush_density,fertilizer,pesticide,sunlight_hours,humidity,max_temperature,min_temperature,avg_temperature,rainfall,monthly_rainfall,tea_quality,shoot_length,bud_density,tea_yield
0,2000,199.7,4.07,1027,84.9,32.5,13.1,22.8,1049,87.4,0.124,8.5,266,185.2
1,3000,102.3,3.56,1216,65.1,25.9,12.5,19.2,1914,159.5,0.174,11.5,126,233.6
2,2500,174.9,2.06,1245,75.5,31.9,17.8,24.8,2278,189.8,0.277,5.8,356,210
3,2000,154.6,4.7,1807,79.9,29.7,17.6,23.6,2313,192.8,0.1,9.9,198,191.5
4,1500,153.7,3.83,1937,79.8,27.3,14.9,21.1,2352,196,0.164,8,105,154
5,1500,98.9,4.84,1673,80.1,29.8,10.9,20.4,2211,184.2,0.12,11.8,118,170.8
6,1000,167.8,4.65,1306,69.6,33.6,16.7,25.2,2308,192.3,0.112,11.1,165,134.3
7,2500,185.1,2.41,1198,89.2,26.5,15.9,21.2,2262,188.5,0.179,9.5,252,226
8,2000,82.8,3.77,1738,60.2,26.7,10.1,18.4,2260,188.3,0.169,14.3,327,150.4
9,2500,143.8,3.35,1848,78.6,30.3,16.4,23.4,1491,124.2,0.195,10.5,318,201.8
10,1000,108.8,4.06,1456,86,31.3,11.3,21.3,1591,132.6,0.186,5.1,426,107.8
11,3000,198.4,3.94,1331,86.7,29.2,18.3,23.8,1476,123,0.14,10.2,235,247.6
12,2500,121.8,0.77,1121,81.6,27.7,16.7,22.2,1232,102.7,0.321,5.6,198,193.8
13,1500,84.2,1.17,1039,77.2,25.7,10.5,18.1,1498,124.8,0.313,14.6,406,158.8
14,1500,107.3,1.33,1159,73.7,25.5,15.3,20.4,2361,196.8,0.28,12.4,269,169.6
15,1500,148.1,4.09,2113,73.5,25.4,18.1,21.8,2457,204.8,0.1,5.1,470,171.8
16,2000,61.4,4.05,1516,72.8,34,18.3,26.2,1226,102.2,0.1,9.9,244,153.3
17,2000,140.5,2.48,1041,81,26.3,10.9,18.6,1993,166.1,0.182,14.4,335,185.4
18,2000,189.7,2.9,1762,81.9,28,10.8,19.4,2450,204.2,0.118,13,403,179.4
19,1500,177.6,4.13,1804,75.4,34.9,17.7,26.3,1310,109.2,0.148,7.7,346,148.9
20,2000,60.2,1.56,1643,82.2,34.3,12.3,23.3,2260,188.3,0.219,11.8,497,152.4
21,1500,199,0.25,1166,75.9,25.4,15.9,20.6,1445,120.4,0.297,12.7,242,164.9
22,1500,154.8,2.41,2132,62.9,30.5,16.1,23.3,1616,134.7,0.304,11.5,126,155
23,2000,74.3,4.57,2034,85.5,31.3,16.3,23.8,2374,197.8,0.102,14,255,164
24,2000,51.9,3.95,1592,86.1,25.5,13.4,19.4,1087,90.6,0.208,7.3,156,162.9
25,2500,75.7,1.83,1571,68,32.3,10.4,21.3,1673,139.4,0.249,12.5,140,219.9
26,1500,175.7,0.32,1234,83.6,34.9,15.4,25.2,1759,146.6,0.259,11,426,184.6
27,2000,53.2,3.18,2130,75.3,29.3,15.2,22.2,2351,195.9,0.184,14.7,232,183.7
28,2000,85,4.17,1899,63.7,29.5,14.3,21.9,1861,155.1,0.1,11.8,220,164.9
29,1000,163.6,3.32,1129,71.9,31.6,12.8,22.2,2418,201.5,0.188,9.3,182,124.1
30,2000,137.9,2.13,1567,62.3,32.4,18.4,25.4,1477,123.1,0.182,6.2,491,199.9
31,1500,167.4,0.62,2355,83.6,32.9,13.7,23.3,1740,145,0.315,11.4,162,147.7
32,1000,161.9,4.55,1679,65.9,25.8,11.3,18.6,1034,86.2,0.1,14.6,382,129.2
33,3000,57.6,1.38,1487,64.9,33,17.6,25.3,2483,206.9,0.33,8.3,163,227.6
34,3000,183.9,1.12,1966,66.3,33.6,16.4,25,1350,112.5,0.283,11.6,300,236.8
35,2500,84.1,4.08,1304,66.8,25.5,13.1,19.3,2393,199.4,0.121,12.9,313,211.8
36,2000,133,4.91,1786,80.2,25.4,11.5,18.4,1600,133.3,0.1,13.8,437,170.6
37,1000,146.6,3.3,2004,79.2,30.5,14.4,22.4,1248,104,0.189,12.7,283,128
38,2000,75.3,3.12,2282,63.9,30,10.7,20.4,1630,135.8,0.162,9.1,429,146.5
39,2000,196.4,1.6,2039,81.7,34.8,12.2,23.5,1486,123.8,0.15,5.1,214,199.8
40,1500,123.2,0.1,1577,70.5,27.9,19.6,23.8,2428,202.3,0.31,10.9,179,116.8
41,2000,58.6,0.96,2152,73.7,30.9,11.5,21.2,2157,179.8,0.295,10.5,452,150.5
42,1000,190.6,2.92,2348,63.7,30.1,12.7,21.4,1311,109.2,0.152,9.2,183,154
43,3000,137.9,0.76,1717,81.3,30.4,11.4,20.9,1810,150.8,0.32,11.3,399,242.5
44,1500,154.9,4.42,1007,71.3,31.6,19.1,25.4,2005,167.1,0.126,5.4,138,155.3
45,2000,128.8,0.94,2321,79,30.4,19.2,24.8,1869,155.8,0.188,14.1,215,172.7
46,2000,175.2,2.61,1248,72.8,25.1,10.6,17.8,2375,197.9,0.178,8,150,176.8
47,2000,55,2.56,1189,61.5,33.4,19,26.2,1169,97.4,0.272,6.2,262,151.8
48,2000,90.3,3.02,1462,81.1,27,11.4,19.2,1061,88.4,0.219,7,405,182.4
49,1500,120.4,1.64,1570,76.6,27.3,14,20.6,1918,159.8,0.294,11,376,127.5
50,3000,61.5,4.37,2199,73,31.5,15.9,23.7,2118,176.5,0.173,12.8,194,224.8
51,2500,155.9,2.22,1584,66,29.8,14.6,22.2,2214,184.5,0.216,6.6,309,229.4
52,3000,109,3.5,1073,78.7,30.7,11.4,21,1317,109.8,0.14,11.8,286,219.9
53,2500,90.9,3.18,1954,68.3,30,17.9,24,1285,107.1,0.221,6.5,398,209.9
54,2000,50.5,0.59,2007,72.9,29.2,16.9,23,2258,188.2,0.369,12.2,128,170.4
55,3000,158,3.11,2221,61.7,29.8,19.4,24.6,1506,125.5,0.242,11.9,397,254.9
56,1000,175.1,2.75,1598,83.3,26.4,13.5,20,1990,165.8,0.178,13.6,182,173.2
57,1500,109.3,4.49,1129,62.7,34.7,14.3,24.5,1226,102.2,0.143,11.7,364,165.4
58,1000,134.6,4.4,1830,86.7,30.7,13.5,22.1,2201,183.4,0.124,5.7,139,98.1
59,2000,84.2,0.75,1181,86,27.9,10.6,19.2,2441,203.4,0.348,13.4,397,143.7
60,2000,143.3,0.41,1026,89.1,32.1,10.5,21.3,2457,204.8,0.327,11.5,382,183.1
61,1500,51.8,1.47,2168,87.3,33.8,17.6,25.7,1779,148.2,0.274,7.1,208,119.6
62,2500,123.3,4.93,1605,89.1,28,12.8,20.4,1359,113.2,0.142,14.4,459,209.1
63,2000,146.6,0.11,1788,86.6,28.2,14.9,21.6,1212,101,0.325,13.8,289,181.9
64,1500,187.7,3.36,1994,63.4,29.4,19.8,24.6,1369,114.1,0.149,9.2,342,190.2
65,2000,107.2,3.04,1602,73.1,27.2,10.2,18.7,1932,161,0.243,10.9,206,186.8
66,1500,164.8,3.23,1077,62.3,33.1,15.2,24.2,1654,137.8,0.195,11.7,307,149.1
67,2500,139.7,1.09,1379,76.4,30.8,15.2,23,1716,143,0.24,13.4,116,217.3
68,1000,189.1,1.13,1292,75.9,25.6,20,22.8,1711,142.6,0.345,8.6,188,148.6
69,3000,109.8,2.15,2466,87.7,35,18.3,26.6,2190,182.5,0.316,11.8,157,228.8
70,2500,97.9,0.48,2109,89.1,30.7,10.7,20.7,2247,187.2,0.342,12.1,179,193.1
71,1500,183.1,0.37,1677,67.8,33.9,11.6,22.8,1021,85.1,0.302,8.7,136,177.8
72,1000,57.4,0.44,1095,77.5,30,10.3,20.2,2377,198.1,0.405,9.2,221,114.3
73,2500,70.5,2.86,1174,73.9,30.8,12,21.4,1583,131.9,0.276,9.2,431,205.1
74,2500,62.4,1.99,2219,76.4,29.5,12.1,20.8,1361,113.4,0.199,9.1,317,190.3
75,2500,176.5,1.47,2418,76,29.2,10.9,20,2494,207.8,0.259,10.4,324,213.3
76,2500,51.6,1.58,1047,87.4,27.2,15.3,21.2,1184,98.7,0.266,5.5,277,213.1
77,1000,179.2,1.04,2366,86.9,34.6,19.8,27.2,1482,123.5,0.378,15,389,157
78,2000,117.7,2.06,1571,63.7,26.8,18,22.4,2361,196.8,0.281,8.1,464,185.6
79,1500,50.6,1.02,1320,70.4,30.3,12,21.2,1713,142.8,0.273,10.4,394,158.9
80,2500,110.2,3.49,1153,82.6,25.9,17.8,21.8,2389,199.1,0.174,7.9,180,196.7
81,2000,78,0.62,2158,80.5,34.9,19.8,27.4,1362,113.5,0.308,14.4,132,201
82,2000,143.7,4.74,1703,78.9,30.6,18.4,24.5,1611,134.2,0.1,14.7,123,200.8
83,1000,151.9,0.45,2249,89.8,33.1,14.7,23.9,1077,89.8,0.352,14.8,446,110.5
84,2000,123.1,4.72,1339,70.1,30.6,12.7,21.6,1681,140.1,0.127,9.4,257,172.1
85,2000,56.1,4.17,2018,75.5,33,17.5,25.2,1001,83.4,0.162,11.1,134,155.2
86,2500,148.4,3.4,1177,89.4,30.3,17.9,24.1,1475,122.9,0.19,13.2,465,206.3
87,2000,176.3,4.56,1135,80.9,29.4,13,21.2,2073,172.8,0.1,6.5,260,207
88,2500,158,0.7,1200,79.5,29.6,12.2,20.9,2086,173.8,0.279,8.8,433,198.5
89,2000,174.5,0.88,2213,64.6,25,16.7,20.8,1642,136.8,0.296,8.1,203,192.3
90,1500,80.1,1.26,1983,67.4,28.7,18.9,23.8,1019,84.9,0.319,9.9,198,169.5
91,2500,183.3,1.22,1249,71.3,34.5,10.2,22.4,1196,99.7,0.292,13,490,204.1
92,2500,98.3,1.55,1577,73.9,31.8,19.9,25.8,1363,113.6,0.202,11.3,196,184.9
93,2000,52,2.88,2146,74.9,34.2,11.9,23,1025,85.4,0.1,6.2,461,160.7
94,2500,176.5,0.14,1429,87.1,27,13.5,20.2,1326,110.5,0.339,7,261,181.1
95,2000,191.3,1.91,2382,63.2,29.9,10.5,20.2,1785,148.8,0.262,6.3,202,179.2
96,2000,148.3,1.23,2372,67.5,25.3,10.6,18,1189,99.1,0.315,7.2,294,171.3
97,2000,84.7,3.03,1829,64.3,31.8,12.7,22.2,2299,191.6,0.275,5.3,219,139.4
98,1000,87.8,4.93,1948,82.1,32.8,15.7,24.2,1090,90.8,0.154,13.8,115,118.1
99,1500,120,2.59,1980,89.1,32.5,19,25.8,2164,180.3,0.252,13.4,163,156.3
100,1000,184.7,2.13,1388,86.8,25.9,10.7,18.3,1669,139.1,0.215,10.6,154,133.7
101,2000,72.4,1.84,1548,81.7,27.5,15.5,21.5,1919,159.9,0.327,12.7,298,168.7
102,2000,173.9,3.92,1204,60.6,31.6,14.2,22.9,1725,143.8,0.1,15,192,166.2
103,2000,93.7,0.36,2387,70.4,32.6,19.9,26.2,1642,136.8,0.377,10.8,144,205.4
104,3000,171.3,4.8,2086,85.9,27.7,11.9,19.8,2021,168.4,0.203,11.1,108,236.2
105,1500,188,2.09,1070,79.6,29.1,13.7,21.4,1341,111.8,0.309,13.6,178,178
106,2000,114.1,1.57,1824,66.3,28.5,10.3,19.4,1730,144.2,0.24,10.3,411,193.6
107,2500,104.8,4.87,1515,74,25,19.1,22,2211,184.2,0.1,5.5,409,194.9
108,1500,170.3,4.68,2223,62.6,30.8,16.2,23.5,1233,102.8,0.1,8.5,475,162.6
109,1000,129.4,3.21,1516,75.6,31.7,15.9,23.8,1139,94.9,0.183,12.2,355,143.3
