tea_type,hexanal,pentanoic acid,hexanoic acid,propanoic acid,2-pentylfuran,benzyl alchol,acetic acid,furfural,2-phenylethanol
black tea,1.24,1.57,0.96,3.32,0.52,1.11,23.95,3.54,0.77
dark tea,0.82,1.88,1.07,3.34,0.52,0.53,23.59,3.49,0.59
oolong tea,1.27,0.9,0.73,1.44,0.41,1.64,10.55,2.03,1.37
white tea,0.44,0.67,0.23,0.74,0.29,1.15,4.18,0.99,0.94
green tea,1.35,0.31,0.27,1.18,0.31,0.88,3.88,0.51,0.48
black tea,1.02,1.51,1.03,2.88,0.33,1.21,19.04,3.0,0.96
dark tea,0.88,2.23,1.0,3.13,0.91,0.87,23.8,3.91,0.41
oolong tea,1.2,1.29,0.72,1.48,0.5,2.09,10.37,2.09,1.91
white tea,0.4,0.95,0.09,0.99,0.2,1.1,5.61,0.5,1.11
green tea,1.39,0.73,0.35,1.01,0.21,1.01,4.33,0.48,0.78
black tea,1.17,1.79,0.73,2.63,0.5,0.89,20.74,3.35,0.85
dark tea,0.72,1.65,1.08,3.12,0.71,0.73,26.01,4.94,0.57
oolong tea,1.56,1.14,0.31,1.49,0.41,2.62,11.16,2.08,1.59
white tea,0.28,0.89,0.31,0.99,0.15,1.4,3.75,0.95,1.53
green tea,1.05,0.48,0.41,1.06,0.13,0.86,2.94,0.61,0.56
black tea,1.42,1.44,0.79,3.06,0.4,1.19,23.27,2.65,0.88
dark tea,0.78,2.2,0.93,2.75,0.94,0.79,25.63,4.17,0.46
oolong tea,1.56,1.2,0.46,1.97,0.45,1.7,12.65,1.76,1.76
white tea,0.52,0.65,0.32,0.92,0.24,1.48,5.19,0.72,0.99
green tea,1.1,0.54,0.43,1.2,0.31,0.85,5.45,0.52,1.1
black tea,1.26,1.43,0.66,2.93,0.52,1.27,21.18,3.22,0.7
dark tea,0.56,1.89,1.3,3.33,0.63,0.77,25.96,3.56,0.57
oolong tea,1.51,0.95,0.59,1.64,0.51,2.26,9.09,1.77,1.7
white tea,0.45,0.81,0.44,0.95,0.26,1.32,6.31,0.79,1.28
green tea,1.11,0.52,0.35,1.16,0.42,0.52,4.69,0.35,0.63
black tea,1.34,1.61,0.66,2.48,0.63,1.02,20.54,3.27,0.74
dark tea,1.02,2.16,0.8,3.32,0.73,0.86,23.02,3.94,0.61
oolong tea,1.72,0.94,0.51,1.38,0.33,2.44,12.21,1.68,1.78
white tea,0.61,0.88,0.14,0.77,0.26,1.03,6.05,0.99,0.99
green tea,1.29,0.27,0.3,1.11,0.16,1.14,2.57,0.49,0.72
black tea,1.4,1.31,1.05,2.75,0.43,1.23,20.5,3.02,0.86
dark tea,0.7,2.03,1.27,3.84,0.63,1.02,20.12,3.92,0.62
oolong tea,1.57,1.04,0.52,1.38,0.34,2.21,12.12,1.83,1.78
